name,number_of_locations,priority,photo_url,photo_link,photo_attribution
Clay-colored Thrush,7,Y,https://flic.kr/p/rtULxH,https://farm9.staticflickr.com/8637/16724760271_f79d39b73f.jpg,Andy Reago and Chrissy McClarren
Tropical Kingbird,7,Y,https://flic.kr/p/e7juPD,https://farm9.staticflickr.com/8123/8604145931_258bc71ea6.jpg,James Diedrick
Black Vulture,6,Y,https://flic.kr/p/5Cm5U5,https://farm4.staticflickr.com/3137/3036739644_c252e06335_b.jpg,Daniel Garcia Neto
Blue-and-white Swallow,6,Y,https://flic.kr/p/rzStAo,https://farm9.staticflickr.com/8716/16792211990_e0d13452f8_b.jpg,Francesco Varonesi
Great Kiskadee,6,Y,https://flic.kr/p/r43tn1,https://farm9.staticflickr.com/8645/16443350958_f343361bcc_b.jpg,Katya Schulz
House Wren,6,Y,https://flic.kr/p/bUd5oE,https://farm9.staticflickr.com/8153/7154381586_fe3402b885_b.jpg,Brian Gratwicke
Rufous-tailed Hummingbird,6,Y,https://flic.kr/p/8MtZfK,https://farm2.staticflickr.com/1055/5109200323_0e01f0bb3b_b.jpg,Julian Iondono
Social Flycatcher,6,Y,https://flic.kr/p/bUdfuG,https://farm8.staticflickr.com/7129/7154415576_b8c7d009e9_b.jpg,Brian Gratwicke
Turkey Vulture,6,Y,https://flic.kr/p/egdXRg,https://farm9.staticflickr.com/8407/8704914645_f353838140_b.jpg,Liam Quinn
Black-mandibled Toucan,5,Y,https://flic.kr/p/9N5Vmh,https://farm6.staticflickr.com/5145/5772372876_9572061c39_b.jpg,Dominic Sherony
Blue-gray Tanager,5,Y,https://flic.kr/p/ri6Aum,https://farm8.staticflickr.com/7291/16602391212_ab989e86cd_b.jpg,Mike's Birds
Gray-necked Wood-Rail,5,Y,https://flic.kr/p/c1ekYE,https://farm8.staticflickr.com/7094/7222528106_03ea6d8b38_b.jpg,Dominic Sherony
Great-tailed Grackle,5,Y,https://flic.kr/p/9TN19w,https://farm6.staticflickr.com/5262/5836971086_9c4593b7c3.jpg,Brian Ralphs
Palm Tanager,5,Y,https://flic.kr/p/59NKUY,https://farm4.staticflickr.com/3172/2725081916_5bb65d380d_b.jpg,Dario Sanches
Squirrel Cuckoo,5,Y,https://flic.kr/p/p5ys5z,https://farm4.staticflickr.com/3869/15147802961_07be6287e9_b.jpg,Andres Cuervo
Swainson's Thrush,5,Y,https://flic.kr/p/6vLPQ9,https://farm4.staticflickr.com/3585/3618708052_c1fb66b646_o.jpg,Derek Bakken
Tennessee Warbler,5,Y,https://flic.kr/p/nDx8tD,https://farm8.staticflickr.com/7365/14208276103_62668487d1_b.jpg,Andy Reago and Chrissy McClarren
White-collared Swift,5,Y,https://flic.kr/p/oBCx8w,https://farm4.staticflickr.com/3918/14843055008_57974e9723_b.jpg,Joao Quental
White-tipped Dove,5,Y,https://flic.kr/p/pNsAdG,https://farm8.staticflickr.com/7489/15621952504_3185024d6a_b.jpg,Francesco Varonesi
Yellow-faced Grassquit,5,Y,https://flic.kr/p/r2S7hS,https://farm9.staticflickr.com/8682/16430012458_b28618a6bd_b.jpg,Mike's Birds
Baltimore Oriole,4,Y,https://flic.kr/p/9GbRuQ,https://farm4.staticflickr.com/3544/5705631612_6a7774e45c_b.jpg,Larry and Teddy Page
Black Phoebe,4,Y,https://flic.kr/p/6WhUW1,https://farm3.staticflickr.com/2511/3896174476_4ae85294f0_b.jpg,Don DeBold
Boat-billed Flycatcher,4,Y,https://flic.kr/p/diNn9o,https://www.flickr.com/photos/sussexbirder/8077707930/sizes/l,Ron Knight
Bronzed Cowbird,4,Y,https://flic.kr/p/rdxfLP,https://farm9.staticflickr.com/8570/16550815319_02e0e96652_b.jpg,Andy Reago and Chrissy McClarren
Buff-throated Saltator,4,Y,https://flic.kr/p/jverCL,https://farm4.staticflickr.com/3729/12145222896_ae55206213_b.jpg,Juan Zamora
Cattle Egret,4,Y,https://flic.kr/p/cmeHN3,,shankar s.
Cherrie's Tanager,4,Y,https://flic.kr/p/6eqPLN,https://farm4.staticflickr.com/3628/3433741682_24de886cfb_b.jpg,kansasphoto
Chestnut-sided Warbler,4,Y,https://flic.kr/p/9Dvya8,https://farm6.staticflickr.com/5147/5675330921_a4e1ebbfd3_b.jpg,Matt Tillett
